block_size,accuracy,time
1000,0.7873171230774477,0.015985300000011193
2000,0.8732735395423388,0.015639200000009623
3000,0.8935477270402074,0.01523850000000948
4000,0.8853630256112949,0.0188345000000254
5000,0.8905296183882959,0.018676099999993312
6000,0.9025167956893906,0.017406400000027134
7000,0.9124407461719469,0.01594820000002528
8000,0.9207618592913412,0.01807650000000649
9000,0.9237117620980118,0.01533069999993586
10000,0.9278552671963988,0.015364999999974316
11000,0.9260648637588241,0.015538699999979144
12000,0.9245472837022133,0.018470200000024306
13000,0.9242233059373188,0.01504109999996217
14000,0.9220407188896088,0.020767999999975473
15000,0.9208300651365822,0.014409300000011172
16000,0.9210517341336153,0.01861970000004476
17000,0.923149063874774,0.015478900000061913
18000,0.9250588275415204,0.017462299999920106
19000,0.9264229444463391,0.01988359999995737
20000,0.9278552671963988,0.016227700000058576
