block_size,accuracy,time
1000,0.8029362616376223,0.015435799999977462
2000,0.8908535961531904,0.01432199999999284
3000,0.9034546260614534,0.01649489999999787
4000,0.9117075333356068,0.014663799999993898
5000,0.8980663642874195,0.014667400000007547
6000,0.9279916788868806,0.014559200000007877
7000,0.9217508440473349,0.014598999999975604
8000,0.933260580431743,0.01411910000001626
9000,0.9255021655355864,0.014226100000087172
10000,0.9141288408416601,0.015524499999969521
11000,0.9210176312109948,0.014516299999968396
12000,0.9353408587115916,0.01442059999999401
13000,0.9245643351635235,0.014839100000017424
14000,0.9313337653036865,0.01421200000004319
15000,0.923507144562289,0.01470649999998841
16000,0.9173004126453637,0.014414299999998548
17000,0.9200456979163114,0.015195000000062464
18000,0.9304129863929339,0.017753100000049926
19000,0.9266616649046824,0.016665100000068378
20000,0.9227909831872592,0.01451550000001589
